recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,17MAY19,0758,POST,16MAY19,JBU,   1 ,10,16,20190516,20190516,1453,1801,972   ,20190517,SC05,JFK ,1053,DM,-0400,FLL ,1401,-0400,321 ,,,,1053,1453,,1451,1506,,1337,1737,1730,1737,949 ,,,,,,0,,,321 ,,5277007,,,,0,0,0,> 302 ,,JFK,2,0,2019-05-16 14:51:00.000,0,2019-05-16 17:37:00.000,29,7,0,0,0001
,17MAY19,0329,POST,16MAY19,JBU,   2 ,10,16,20190516,20190517,0012,0314,804   ,20190517,SC05,FLL ,2012,DM,-0400,JFK ,2314,-0400,32A ,,,,2012,0012,,,,,2323,0323,0316,0327,806 ,,,,,,0,,,32A ,,5277019,,,,0,0,0,> 787 ,,JFK,2,0,2019-05-17 00:12:00.000,0,2019-05-17 03:27:00.000,17,7,0,0,0002
,17MAY19,0759,POST,16MAY19,JBU,   4 ,10,16,20190516,20190517,0045,0441,995   ,20190517,,SJU ,2045,DM,-0400,JFK ,0041,-0400,321 ,,,,2045,0045,,0107,0118,,0054,0454,0447,0455,,,,,,,0,,,321 ,,5277029,,,,0,0,0,> 209 ,,JFK,2,0,2019-05-17 01:07:00.000,0,2019-05-17 04:55:00.000,17,7,0,0,0004
,17MAY19,0748,POST,16MAY19,JBU,   7 ,10,16,20190516,20190516,2247,0415,503   ,20190517,,FLL ,1847,DM,-0400,LAS ,2115,-0700,320 ,,,,1847,2247,,2242,2258,,2100,0400,0353,0359,,,,,,,0,,,320 ,,5277041,,,,0,0,0,>   8 ,,JFK,2,0,2019-05-16 22:42:00.000,0,2019-05-17 03:59:00.000,17,7,0,0,0007
,17MAY19,0921,POST,16MAY19,JBU,   8 ,10,16,20190516,20190517,0505,0946,503   ,20190517,,LAS ,2205,DM,-0700,FLL ,0546,-0400,320 ,,,,2205,0505,,0500,0512,,0523,0923,0916,0919,,,,,,,0,,,320 ,,5277054,,,,0,0,0,>1053 ,,JFK,2,0,2019-05-17 05:00:00.000,0,2019-05-17 09:19:00.000,18,7,0,0,0008
,17MAY19,0740,POST,16MAY19,JBU,  11 ,10,16,20190516,20190517,0211,0448,178   ,20190517,,BOS ,2211,DM,-0400,ORD ,2348,-0500,E90 ,,,,2211,0211,,,0201,,2204,0304,0257,0303,,,,,,,0,,,E90 ,,5277063,,,,0,0,0,> 412 ,,JFK,2,0,2019-05-17 02:11:00.000,0,2019-05-17 03:03:00.000,18,7,0,0,0011
,17MAY19,0845,POST,16MAY19,JBU,  14 ,10,16,20190516,20190517,0340,0909,821   ,20190517,AU01,LGB ,2040,DM,-0700,JFK ,0509,-0400,32A ,,,,2040,0340,,0333,0344,,0443,0843,0836,0841,584 ,,,,,,0,,,320 ,,5277073,,,,0,0,0,>2701 ,,JFK,2,0,2019-05-17 03:33:00.000,0,2019-05-17 08:41:00.000,13,7,0,0,0014
,17MAY19,0759,POST,16MAY19,JBU,  15 ,10,16,20190516,20190516,1112,1736,987   ,20190517,SC05,JFK ,0712,DM,-0400,SFO ,1036,-0700,32S ,,,,0712,1112,,1107,1132,,1017,1717,1710,1721,962 ,,,,,,0,,,32S ,,5277084,,,,0,0,0,> 334 ,,JFK,2,1,2019-05-16 11:07:00.000,0,2019-05-16 17:21:00.000,29,7,0,0,0015
,17MAY19,0757,POST,16MAY19,JBU,  16 ,10,16,20190516,20190516,1340,1929,943   ,20190517,,SFO ,0640,DM,-0700,JFK ,1529,-0400,32S ,,,,0640,1340,,1338,1359,,1517,1917,1910,1917,,,,,,,0,,,32S ,,5277094,,,,0,0,0,>  89 ,,JFK,2,1,2019-05-16 13:38:00.000,3,2019-05-16 19:17:00.000,15,7,0,0,0016
,17MAY19,0758,POST,16MAY19,JBU,  19 ,10,16,20190516,20190516,2020,0240,977   ,20190517,,BOS ,1620,DM,-0400,SAN ,1940,-0700,32S ,,,,1620,2020,,,,,1851,0151,0144,0153,,,,,,,0,,,32S ,,5277105,,,,0,0,0,>  90 ,,JFK,2,0,2019-05-16 20:20:00.000,0,2019-05-17 01:53:00.000,18,7,0,0,0019
