recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,19MAY19,1333,PLNK,21MAY19,JBU,   1 ,10,21,20190521,20190521,1453,1801,956   ,20190519,,JFK ,1053,DM,-0400,FLL ,1401,-0400,321 ,,,,1053,1453,,,,,1401,1801,,,,,,,,,0,,,321 ,,5277012,,,,0,0,0,> 302 ,,JFK,3,0,2019-05-21 14:53:00.000,0,2019-05-21 18:01:00.000,29,7,0,0,0001
,18MAY19,1209,PLNK,21MAY19,JBU,   2 ,10,21,20190521,20190522,0012,0314,807   ,20190518,,FLL ,2012,DM,-0400,JFK ,2314,-0400,32A ,,,,2012,0012,,,,,2314,0314,,,,,,,,,0,,,32A ,,5277022,,,,0,0,0,> 787 ,,JFK,3,0,2019-05-22 00:12:00.000,0,2019-05-22 03:14:00.000,17,7,0,0,0002
,20MAY19,0451,PLNK,21MAY19,JBU,   4 ,10,21,20190521,20190522,0045,0441,971   ,20190520,SC05,SJU ,2045,DM,-0400,JFK ,0041,-0400,321 ,,,A4  ,2045,0045,,,,,0041,0441,,,913 ,,,,,,0,,,321 ,,5277034,,,,0,0,0,> 209 ,,JFK,2,0,2019-05-22 00:45:00.000,0,2019-05-22 04:41:00.000,17,7,0,0,0004
,19MAY19,1208,PLNK,21MAY19,JBU,   7 ,10,21,20190521,20190521,2247,0415,658   ,20190519,SC20,FLL ,1847,DM,-0400,LAS ,2115,-0700,320 ,,,,1847,2247,,,,E09 ,2115,0415,,,524 ,,,,,,0,,,320 ,,5277046,,,,0,0,0,>   8 ,,JFK,3,0,2019-05-21 22:47:00.000,0,2019-05-22 04:15:00.000,17,7,0,0,0007
,19MAY19,0526,TP57,21MAY19,JBU,   8 ,10,21,20190521,20190522,0505,0946,658   ,20190519,SC20,LAS ,2205,DM,-0700,FLL ,0546,-0400,320 ,,,E09 ,2205,0505,,,,,0546,0946,,,524 ,,,,,,0,,,320 ,,5277052,,,,0,0,0,> 173 ,,JFK,3,0,2019-05-22 05:05:00.000,0,2019-05-22 09:46:00.000,18,7,0,0,0008
,20MAY19,0345,dtad,21MAY19,JBU,  11 ,10,21,20190521,20190522,0211,0448,228   ,20190520,,BOS ,2211,DM,-0400,ORD ,2348,-0500,E90 ,,,C29 ,2211,0211,,,,L2A ,2348,0448,,,,,,,,,0,,,E90 ,,5277068,,,,0,0,0,>1012 ,,JFK,3,0,2019-05-22 02:11:00.000,0,2019-05-22 04:48:00.000,18,7,0,0,0011
,19MAY19,1208,PLNK,21MAY19,JBU,  14 ,10,21,20190521,20190522,0340,0909,665   ,20190519,SC05,LGB ,2040,DM,-0700,JFK ,0509,-0400,320 ,,,,2040,0340,,,,,0509,0909,,,618 ,,,,,,0,,,320 ,,5277078,,,,0,0,0,>2701 ,,JFK,3,0,2019-05-22 03:40:00.000,0,2019-05-22 09:09:00.000,13,7,0,0,0014
,19MAY19,1208,PLNK,21MAY19,JBU,  15 ,10,21,20190521,20190521,1112,1736,985   ,20190519,SC05,JFK ,0712,DM,-0400,SFO ,1036,-0700,32S ,,,,0712,1112,,,,,1036,1736,,,945 ,,,,,,0,,,32S ,,5277088,,,,0,0,0,> 334 ,,JFK,3,1,2019-05-21 11:12:00.000,0,2019-05-21 17:36:00.000,29,7,0,0,0015
,18MAY19,1209,PLNK,21MAY19,JBU,  16 ,10,21,20190521,20190521,1340,1929,989   ,20190518,SC05,SFO ,0640,DM,-0700,JFK ,1529,-0400,32S ,,,,0640,1340,,,,,1529,1929,,,980 ,,,,,,0,,,32S ,,5277099,,,,0,0,0,>  89 ,,JFK,3,1,2019-05-21 13:40:00.000,3,2019-05-21 19:29:00.000,15,7,0,0,0016
,19MAY19,1208,PLNK,21MAY19,JBU,  19 ,10,21,20190521,20190521,2020,0240,942   ,20190519,,BOS ,1620,DM,-0400,SAN ,1940,-0700,32S ,,,C8  ,1620,2020,,,,,1940,0240,,,,,,,,,0,,,32S ,,5277110,,,,0,0,0,>  90 ,,JFK,3,0,2019-05-21 20:20:00.000,0,2019-05-22 02:40:00.000,18,7,0,0,0019
,20MAY19,0120,POST,21MAY19,JBU,  20 ,10,21,20190521,20190522,0414,0945,989   ,20190520,SC05,SAN ,2114,DM,-0700,BOS ,0545,-0400,32S ,,,,2114,0414,,,,C6  ,0545,0945,,,980 ,,,,,,0,,,32S ,,5277121,,,,0,0,0,> 487 ,,JFK,3,0,2019-05-22 04:14:00.000,0,2019-05-22 09:45:00.000,19,7,0,0,0020
,19MAY19,1824,POST,21MAY19,JBU,  23 ,10,21,20190521,20190521,0933,1539,976   ,20190519,,JFK ,0533,DM,-0400,LAX ,0839,-0700,32S ,,,09  ,0533,0933,,,,,0839,1539,,,,,,,,,0,,,32S ,,5277132,,,,0,0,0,> 700 ,,JFK,3,1,2019-05-21 09:33:00.000,3,2019-05-21 15:39:00.000,29,7,0,0,0023
,19MAY19,0703,rd15,21MAY19,JBU,  24 ,10,21,20190521,20190521,1230,1806,967   ,20190519,,LAX ,0530,DM,-0700,JFK ,1406,-0400,32S ,,,59  ,0530,1230,,,,,1406,1806,,,,,,,,,0,,,32S ,,5277143,,,,0,0,0,> 263 ,,JFK,3,1,2019-05-21 12:30:00.000,0,2019-05-21 18:06:00.000,15,7,0,0,0024
,18MAY19,2346,PLNK,21MAY19,JBU,  26 ,10,21,20190521,20190521,1730,2018,193   ,20190518,,TPA ,1330,DM,-0400,JFK ,1618,-0400,E90 ,,,,1330,1730,,,,,1618,2018,,,,,,,,,0,,,E90 ,,5277153,,,,0,0,0,> 102 ,,JFK,3,0,2019-05-21 17:30:00.000,0,2019-05-21 20:18:00.000,14,7,0,0,0026
,20MAY19,0355,POST,21MAY19,JBU,  27 ,10,21,20190521,20190521,0930,1205,509   ,20190520,SC02,EWR ,0530,DM,-0400,MCO ,0805,-0400,320 ,,,,0530,0930,,,,7   ,0805,1205,,,531 ,,,,,,0,,,320 ,,5277164,,,,0,0,0,>1150 ,,JFK,3,1,2019-05-21 09:30:00.000,3,2019-05-21 12:05:00.000,25,7,0,0,0027
,20MAY19,0716,ICAB,21MAY19,JBU,  28 ,10,21,20190521,20190521,1722,2017,597   ,20190520,SC03,MCO ,1322,DM,-0400,EWR ,1617,-0400,320 ,,,9   ,1322,1722,,,,16A ,1617,2017,,,834 ,,,,,,0,,,320 ,,5277175,,,,0,0,0,> 227 ,,JFK,1,0,2019-05-21 17:22:00.000,0,2019-05-21 20:17:00.000,16,7,0,0,0028
,20MAY19,0355,POST,21MAY19,JBU,  31 ,10,21,20190521,20190521,1943,2036,653   ,20190520,SC05,SJU ,1543,DM,-0400,PUJ ,1636,-0400,32M ,,,A3  ,1543,1943,,,,,1636,2036,,,641 ,,,,,,0,,,32M ,,5277187,,,,0,0,0,>  32 ,,JFK,3,0,2019-05-21 19:43:00.000,0,2019-05-21 20:36:00.000,17,7,0,0,0031
,20MAY19,0355,POST,21MAY19,JBU,  32 ,10,21,20190521,20190521,2136,2229,653   ,20190520,SC05,PUJ ,1736,DM,-0400,SJU ,1829,-0400,32M ,,,,1736,2136,,,,A3  ,1829,2229,,,641 ,,,,,,0,,,32M ,,5277198,,,,0,0,0,> 562 ,,JFK,3,0,2019-05-21 21:36:00.000,0,2019-05-21 22:29:00.000,15,7,0,0,0032
,20MAY19,0545,RF98,21MAY19,JBU,  33 ,10,21,20190521,20190521,1717,1844,353   ,20190520,SC09,BTV ,1317,DM,-0400,JFK ,1444,-0400,E90 ,,,6   ,1317,1717,,,,,1444,1844,,,179 ,,,,,,0,,,E90 ,,5277210,,,,0,0,0,>1119 ,,JFK,3,0,2019-05-21 17:17:00.000,0,2019-05-21 18:44:00.000,15,7,0,0,0033
,20MAY19,0545,RF98,21MAY19,JBU,  34 ,10,21,20190521,20190521,1522,1639,353   ,20190520,SC09,JFK ,1122,DM,-0400,BTV ,1239,-0400,E90 ,,,,1122,1522,,,,6   ,1239,1639,,,179 ,,,,,,0,,,E90 ,,5277220,,,,0,0,0,>  33 ,,JFK,3,0,2019-05-21 15:22:00.000,0,2019-05-21 16:39:00.000,29,7,0,0,0034
,19MAY19,1208,PLNK,21MAY19,JBU,  36 ,10,21,20190521,20190522,0016,0359,583   ,20190519,SC05,STI ,2016,DM,-0400,JFK ,2359,-0400,320 ,,,,2016,0016,,,,,2359,0359,,,639 ,,,,,,0,,,320 ,,5277231,,,,0,0,0,> 621 ,,JFK,3,0,2019-05-22 00:16:00.000,0,2019-05-22 03:59:00.000,14,7,0,0,0036
,19MAY19,1208,PLNK,21MAY19,JBU,  37 ,10,21,20190521,20190521,1859,2252,583   ,20190519,SC05,JFK ,1459,DM,-0400,STI ,1852,-0400,320 ,,,,1459,1859,,,,,1852,2252,,,639 ,,,,,,0,,,320 ,,5277242,,,,0,0,0,>  36 ,,JFK,3,0,2019-05-21 18:59:00.000,0,2019-05-21 22:52:00.000,29,7,0,0,0037
,19MAY19,0536,TC12,21MAY19,JBU,  38 ,10,21,20190521,20190521,2105,0005,569   ,20190519,SC03,SJO ,1505,DM,-0600,FLL ,2005,-0400,320 ,,,,1505,2105,,,,,2005,0005,,,639 ,,,,,,0,,,320 ,,5277249,,,,0,0,0,>2033 ,,JFK,3,0,2019-05-21 21:05:00.000,0,2019-05-22 00:05:00.000,15,7,0,0,0038
,19MAY19,0536,TC12,21MAY19,JBU,  39 ,10,21,20190521,20190521,1703,2005,569   ,20190519,SC03,FLL ,1303,DM,-0400,SJO ,1405,-0600,320 ,,,,1303,1703,,,,,1405,2005,,,639 ,,,,,,0,,,320 ,,5277264,,,,0,0,0,>  38 ,,JFK,3,0,2019-05-21 17:03:00.000,0,2019-05-21 20:05:00.000,17,7,0,0,0039
,18MAY19,1209,PLNK,21MAY19,JBU,  40 ,10,21,20190521,20190521,0739,1108,593   ,20190518,SC05,MDE ,0239,DM,-0500,FLL ,0708,-0400,320 ,,,,0239,0739,,,,,0708,1108,,,504 ,,,,,,0,,,320 ,,5277272,,,,0,0,0,>1795 ,,JFK,3,1,2019-05-21 07:39:00.000,0,2019-05-21 11:08:00.000,15,7,0,0,0040
,18MAY19,1209,PLNK,21MAY19,JBU,  42 ,10,21,20190521,20190521,1817,1941,613   ,20190518,SC01,LGB ,1117,DM,-0700,RNO ,1241,-0700,320 ,,,,1117,1817,,,,B6  ,1241,1941,,,630 ,,,,,,0,,,320 ,,5277288,,,,0,0,0,>  43 ,,JFK,3,0,2019-05-21 18:17:00.000,0,2019-05-21 19:41:00.000,13,7,0,0,0042
,18MAY19,1209,PLNK,21MAY19,JBU,  43 ,10,21,20190521,20190521,2022,2147,613   ,20190518,SC01,RNO ,1322,DM,-0700,LGB ,1447,-0700,320 ,,,B6  ,1322,2022,,,,,1447,2147,,,630 ,,,,,,0,,,320 ,,5277299,,,,0,0,0,> 532 ,,JFK,3,0,2019-05-21 20:22:00.000,0,2019-05-21 21:47:00.000,15,7,0,0,0043
,20MAY19,0730,POST,21MAY19,JBU,  51 ,10,21,20190521,20190521,1006,1315,974   ,20190520,SC51,BOS ,0606,DM,-0400,MCO ,0915,-0400,321 ,,,C10 ,0606,1006,,,,9   ,0915,1315,,,949 ,,,,,,0,,,321 ,,5277310,,,,0,0,0,> 490 ,,JFK,3,1,2019-05-21 10:06:00.000,3,2019-05-21 13:15:00.000,18,7,0,0,0051
,20MAY19,0354,POST,21MAY19,JBU,  52 ,10,21,20190521,20190521,0932,1224,651   ,20190520,SC20,MCO ,0532,DM,-0400,BOS ,0824,-0400,320 ,,,6   ,0532,0932,,,,C10 ,0824,1224,,,584 ,,,,,,0,,,320 ,,5277320,,,,0,0,0,> 451 ,,JFK,3,1,2019-05-21 09:32:00.000,3,2019-05-21 12:24:00.000,16,7,0,0,0052
,20MAY19,0446,PLNK,21MAY19,JBU,  53 ,10,21,20190521,20190521,1110,1405,954   ,20190520,,JFK ,0710,DM,-0400,PBI ,1005,-0400,321 ,,,14  ,0710,1110,,,,,1005,1405,,,,,,,,,0,,,321 ,,5277332,,,,0,0,0,> 154 ,,JFK,3,1,2019-05-21 11:10:00.000,3,2019-05-21 14:05:00.000,29,7,0,0,0053
,18MAY19,2232,POST,21MAY19,JBU,  55 ,10,21,20190521,20190521,1045,1224,296   ,20190518,SC01,BOS ,0645,DM,-0400,DCA ,0824,-0400,E90 ,,,C26 ,0645,1045,,,,,0824,1224,,,373 ,,,,,,0,,,E90 ,,5277353,,,,0,0,0,> 589 ,,JFK,3,1,2019-05-21 10:45:00.000,3,2019-05-21 12:24:00.000,18,7,0,0,0055
,20MAY19,0355,POST,21MAY19,JBU,  61 ,10,21,20190521,20190522,0152,0549,998   ,20190520,SC14,BOS ,2152,DM,-0400,SJU ,0149,-0400,321 ,,,C19 ,2152,0152,,,,A7  ,0149,0549,,,965 ,,,,,,0,,,321 ,,5277365,,,,0,0,0,> 862 ,,JFK,3,0,2019-05-22 01:52:00.000,0,2019-05-22 05:49:00.000,18,7,0,0,0061
,20MAY19,0636,PLNK,21MAY19,JBU,  62 ,10,21,20190521,20190521,1403,1647,587   ,20190520,,PBI ,1003,DM,-0400,LGA ,1247,-0400,320 ,,,,1003,1403,,,,,1247,1647,,,,,,,,,0,,,320 ,,5277376,,,,0,0,0,>1161 ,,JFK,3,1,2019-05-21 14:03:00.000,0,2019-05-21 16:47:00.000,14,7,0,0,0062
,19MAY19,2140,TP57,21MAY19,JBU,  63 ,10,21,20190521,20190521,1231,1843,987   ,20190519,SC01,JFK ,0831,DM,-0400,SEA ,1143,-0700,32S ,,,14  ,0831,1231,,,,B15 ,1143,1843,,,993 ,,,,,,0,,,32S ,,5277386,,,,0,0,0,> 464 ,,JFK,3,1,2019-05-21 12:31:00.000,3,2019-05-21 18:43:00.000,29,7,0,0,0063
,19MAY19,1208,PLNK,21MAY19,JBU,  65 ,10,21,20190521,20190521,2340,0506,636   ,20190519,SC05,JFK ,1940,DM,-0400,ABQ ,2306,-0600,320 ,,,,1940,2340,,,,,2306,0506,,,618 ,,,,,,0,,,320 ,,5277395,,,,0,0,0,>  66 ,,JFK,3,0,2019-05-21 23:40:00.000,0,2019-05-22 05:06:00.000,29,7,0,0,0065
