recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,03JUL18,1004,POST,02JUL18,JBU,   8 ,10,02,20180702,20180703,0450,0948,641   ,20180703,SC05,LAS ,2150,15,-0700,FLL ,0548,-0400,320 ,,,E10 ,2217,0517,,0513,0525,,0553,0953,0946,1001,521 ,,,,,,0,,,320 ,,4864361,,,,0,0,0,>1557 ,,JFK,3,0,2018-07-03 05:13:00.000,0,2018-07-03 10:01:00.000,18,7,0,0,0008
,02JUL18,1840,POST,02JUL18,JBU,  62 ,10,02,20180702,20180702,1356,1643,603   ,20180702,AU01,PBI ,0956,05,-0400,LGA ,1243,-0400,320 ,,,C15 ,1015,1415,,1405,1415,,1234,1634,1627,1634,608 ,,,,1635,,0,,,320 ,,4864755,,,,0,0,0,>1161 ,,JFK,3,0,2018-07-02 14:05:00.000,0,2018-07-02 16:34:00.000,14,7,0,0,0062
,03JUL18,1118,POST,02JUL18,JBU,  80 ,10,02,20180702,20180703,0544,1055,804   ,20180703,,RNO ,2244,16,-0700,JFK ,0655,-0400,32A ,,,,2306,0606,,0610,0623,,0715,1115,1108,1115,,,,,,,0,,,32A ,,4864842,,,,0,0,0,>2089 ,,JFK,3,0,2018-07-03 06:10:00.000,0,2018-07-03 11:15:00.000,15,7,0,0,0080
,02JUL18,1922,POST,02JUL18,JBU, 118 ,10,02,20180702,20180702,1821,1940,334   ,20180702,SC05,JFK ,1421,18,-0400,BOS ,1540,-0400,E90 ,,,,1426,1826,,1818,1838,C29 ,1524,1924,1917,1921,239 ,,,,1919,,0,,,E90 ,,4865095,,,,0,0,0,>1159 ,,JFK,3,0,2018-07-02 18:18:00.000,0,2018-07-02 19:21:00.000,29,7,0,0,0118
,03JUL18,1156,POST,02JUL18,JBU, 278 ,10,02,20180702,20180703,0604,1145,967   ,20180703,SC05,SFO ,2304,17,-0700,FLL ,0745,-0400,32S ,,,,2334,0634,,0638,0651,,0753,1153,1146,1154,981 ,,,,,,0,,,32S ,,4866105,,,,0,0,0,> 701 ,,JFK,3,0,2018-07-03 06:38:00.000,0,2018-07-03 11:54:00.000,15,7,0,0,0278
,03JUL18,0143,POST,02JUL18,JBU, 296 ,10,02,20180702,20180702,1948,0109,807   ,20180703,SC03,PDX ,1248,16,-0700,BOS ,2109,-0400,32A ,,,C6  ,1318,2018,,2137,2153,C20 ,2008,0008,0001,0008,657 ,,,,0200,,0,,,320 ,,4866226,,,,0,0,0,>  61 ,,JFK,1,0,2018-07-02 21:37:00.000,0,2018-07-03 00:08:00.000,13,7,0,0,0296
,03JUL18,0646,POST,02JUL18,JBU, 347 ,10,02,20180702,20180703,0129,0246,565   ,20180703,SC20,OAK ,1829,16,-0700,LGB ,1946,-0700,320 ,,,,1904,0204,,0200,0213,,2021,0321,0314,0317,633 ,,,,,,0,,,320 ,,4866483,,,,0,0,0,> 944 ,,JFK,3,0,2018-07-03 02:00:00.000,0,2018-07-03 03:17:00.000,14,7,0,0,0347
,03JUL18,0445,POST,02JUL18,JBU, 368 ,10,02,20180702,20180702,2149,0150,625   ,20180703,,PUJ ,1749,03,-0400,JFK ,2150,-0400,320 ,,,,1901,2301,,0024,0049,,2245,0245,0238,0243,,,,,,,0,,,320 ,,4866594,,,,0,0,0,>1051 ,,JFK,3,0,2018-07-03 00:24:00.000,0,2018-07-03 02:43:00.000,15,7,0,0,0368
,03JUL18,1641,POST,02JUL18,JBU, 395 ,10,02,20180702,20180702,1423,1704,178   ,20180703,SC01,HPN ,1023,08,-0400,MCO ,1304,-0400,E90 ,,,,1055,1455,,1557,1609,1   ,1427,1827,1820,1823,266 ,,,,,,0,,,E90 ,,4866758,,,,0,0,0,> 846 ,,JFK,3,0,2018-07-02 15:57:00.000,0,2018-07-02 18:23:00.000,20,7,0,0,0395
,02JUL18,2242,POST,02JUL18,JBU, 400 ,10,02,20180702,20180702,1740,2104,556   ,20180702,AU01,MSY ,1240,05,-0500,BOS ,1704,-0400,32C ,,,C5  ,1324,1824,,1814,1839,C30 ,1735,2135,2128,2136,,,,,2135,,0,,,32H ,,4866802,,,,0,0,0,> 647 ,,JFK,3,0,2018-07-02 18:14:00.000,0,2018-07-02 21:36:00.000,14,7,0,0,0400
